96 96
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
75 56 48
83 62 53
80 56 48
98 71 57
92 61 51
93 60 50
94 74 58
89 72 57
94 77 61
85 74 59
83 72 59
85 79 67
66 66 71
64 61 66
65 64 69
63 50 47
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
62 46 40
63 46 41
67 51 44
71 54 47
67 50 44
70 52 46
68 51 45
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
70 53 46
72 54 47
70 53 46
65 48 42
71 50 44
100 61 51
97 60 50
100 62 51
102 82 63
99 80 62
102 85 65
91 82 65
90 80 64
91 86 72
66 71 78
65 66 73
65 69 76
63 50 48
63 46 41
62 46 41
63 46 41
63 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
63 46 41
62 46 41
63 46 41
64 47 42
67 50 44
73 55 48
72 54 47
70 52 46
0 0 0
